Title,Year,Authors,Journal,Total_Citations,DOI
OPTICAL REMOTE SENSING AND THE RETRIEVAL OF TERRESTRIAL VEGETATION BIO-GEOPHYSICAL PROPERTIES - A REVIEW,2015,VERRELST J;CAMPS-VALLS G;MUNOZ-MARI J;PABLO P;RIVERA J;VEROUSTRAETE F;CLEVERS JGPW;MORENO J,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,662,10.1016/j.isprsjprs.2015.05.005
A GLOBAL SPECTRAL LIBRARY TO CHARACTERIZE THE WORLD'S SOIL,2016,ROSSEL RAV;BEHRENS T;BEN-DOR E;BROWN DJ;DEMATTE JAM;SHEPHERD KD;SHI Z;STENBERG B;STEVENS A;ADAMCHUK V;AICHI H;BARTHES BG;BARTHOLOMEUS HM;BAYER AD;BERNOUX M;BOTTCHER K;BRODSKY L;DU CW;CHAPPELL A;FOUAD Y;GENOT;V. V;GOMEZ C;GRUNWALD S;GUBLER A;GUERRERO C;HEDLEY CB;KNADEL M;MORRAS HJM;NOCITA M;RAMIREZ-LOPEZ L;ROUDIER P;RUFASTO CAMPOS EM;SANBORN;P. P;SELLITTO VM;SUDDUTH KA;RAWLINS BG;WALTER;C. C;WINOWIECKI LA;HONG SY;JI W,EARTH-SCIENCE REVIEWS,645,10.1016/j.earscirev.2016.01.012
A NEW MAP OF GLOBAL URBAN EXTENT FROM MODIS SATELLITE DATA,2009,SCHNEIDER A;FRIEDL MA;POTERE D,ENVIRONMENTAL RESEARCH LETTERS,624,10.1088/1748-9326/4/4/044003
THE EFFECTS OF CLIMATE EXTREMES ON GLOBAL AGRICULTURAL YIELDS,2019,VOGEL E;DONAT MG;ALEXANDER L;MEINSHAUSEN M;RAY DK;KAROLY D;MEINSHAUSEN;NICOLAI N;FRIELER K,ENVIRONMENTAL RESEARCH LETTERS,621,10.1088/1748-9326/ab154b
FLOOD HAZARD RISK ASSESSMENT MODEL BASED ON RANDOM FOREST,2015,WANG Z;LAI C;CHEN X;YANG B;ZHAO S;BAI X,JOURNAL OF HYDROLOGY,621,10.1016/j.jhydrol.2015.06.008
PREDICTING CARBON DIOXIDE AND ENERGY FLUXES ACROSS GLOBAL FLUXNET SITES WITH REGRESSION ALGORITHMS,2016,TRAMONTANA G;JUNG M;SCHWALM CR;ICHII K;CAMPS-VALLS G;RADULY B;REICHSTEIN M;ARAIN MA;CESCATTI A;KIELY G;MERBOLD L;SERRANO-ORTIZ P;SICKERT;SVEN S;WOLF S;PAPALE D,BIOGEOSCIENCES,620,10.5194/bg-13-4291-2016
MAPPING GLOBAL URBAN AREAS USING MODIS 500-M DATA: NEW METHODS AND DATASETS BASED ON `URBAN ECOREGIONS',2010,SCHNEIDER A;FRIEDL MA;POTERE D,REMOTE SENSING OF ENVIRONMENT,587,10.1016/j.rse.2010.03.003
THE FLUXCOM ENSEMBLE OF GLOBAL LAND-ATMOSPHERE ENERGY FLUXES,2019,JUNG M;KOIRALA S;WEBER U;ICHII K;GANS F;CAMPS-VALLS G;PAPALE D;SCHWALM;CHRISTOPHER C;TRAMONTANA G;REICHSTEIN M,SCIENTIFIC DATA,580,10.1038/s41597-019-0076-8
TOWARDS GLOBAL EMPIRICAL UPSCALING OF FLUXNET EDDY COVARIANCE OBSERVATIONS: VALIDATION OF A MODEL TREE ENSEMBLE APPROACH USING A BIOSPHERE MODEL,2009,JUNG M;REICHSTEIN M;BONDEAU A,BIOGEOSCIENCES,578,10.5194/bg-6-2001-2009
A REVIEW OF MACHINE LEARNING APPLICATIONS IN WILDFIRE SCIENCE AND MANAGEMENT,2020,JAIN P;COOGAN SCP;SUBRAMANIAN SG;CROWLEY M;TAYLOR S;FLANNIGAN MD,ENVIRONMENTAL REVIEWS,568,10.1139/er-2020-0019
LOAD FORECASTING USING SUPPORT VECTOR MACHINES: A STUDY ON EUNITE COMPETITION 2001,2004,CHEN BJ;CHANG MW;LIN CJ,IEEE TRANSACTIONS ON POWER SYSTEMS,561,10.1109/TPWRS.2004.835679
INDIVIDUAL DIFFERENCE IN THERMAL COMFORT: A LITERATURE REVIEW,2018,WANG Z;DE DEAR R;LUO M;LIN B;HE;YINGDONG Y;GHAHRAMANI A;ZHU Y,BUILDING AND ENVIRONMENT,553,10.1016/j.buildenv.2018.04.040
DEEP LEARNING FOR SPATIO-TEMPORAL DATA MINING: A SURVEY,2022,WANG S;CAO J;YU PS,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,550,10.1109/TKDE.2020.3025580
RANDOM FORESTS FOR GLOBAL AND REGIONAL CROP YIELD PREDICTIONS,2016,JEONG JH;RESOP JP;MUELLER ND;FLEISHER DH;YUN K;BUTLER EE;TIMLIN;DENNIS J. DJ;SHIM KM;GERBER JS;REDDY V;R. R;KIM SH,PLOS ONE,545,10.1371/journal.pone.0156571
ASSESSING TRANSFERABILITY OF ECOLOGICAL MODELS: AN UNDERAPPRECIATED ASPECT OF STATISTICAL VALIDATION,2012,WENGER SJ;OLDEN JD,METHODS IN ECOLOGY AND EVOLUTION,523,10.1111/j.2041-210X.2011.00170.x
INTEGRATING SCIENTIFIC KNOWLEDGE WITH MACHINE LEARNING FOR ENGINEERING AND ENVIRONMENTAL SYSTEMS,2023,WILLARD J;JIA X;XU S;STEINBACH M;KUMAR V,ACM COMPUTING SURVEYS,522,10.1145/3514228
COMPARISON OF SUPPORT VECTOR MACHINE AND EXTREME GRADIENT BOOSTING FOR PREDICTING DAILY GLOBAL SOLAR RADIATION USING TEMPERATURE AND PRECIPITATION IN HUMID SUBTROPICAL CLIMATES: A CASE STUDY IN CHINA,2018,FAN J;WANG X;WU L;ZHOU H;ZHANG F;YU X;LU X;XIANG Y,ENERGY CONVERSION AND MANAGEMENT,513,10.1016/j.enconman.2018.02.087
MAPPING HIGH RESOLUTION NATIONAL SOIL INFORMATION GRIDS OF CHINA,2022,LIU F;WU H;ZHAO Y;LI D;YANG;JIN-LING JL;SONG X;SHI Z;ZHU AX;ZHANG;GAN-LIN GL,SCIENCE BULLETIN,511,10.1016/j.scib.2021.10.013
USING MACHINE LEARNING TO REPLICATE CHAOTIC ATTRACTORS AND CALCULATE LYAPUNOV EXPONENTS FROM DATA,2017,PATHAK J;LU Z;HUNT BR;GIRVAN M;OTT E,CHAOS,507,10.1063/1.5010300
LARGE STOCKS OF PEATLAND CARBON AND NITROGEN ARE VULNERABLE TO PERMAFROST THAW,2020,HUGELIUS G;LOISEL J;CHADBURN S;JACKSON;ROBERT B. RB;JONES M;MACDONALD G;MARUSHCHAK M;OLEFELDT D;PACKALEN M;SIEWERT MB;TREAT C;TURETSKY M;VOIGT C;YU Z,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,497,10.1073/pnas.1916387117
REMOTE SENSING OF THE TERRESTRIAL CARBON CYCLE: A REVIEW OF ADVANCES OVER 50 YEARS,2019,XIAO J;CHEVALLIER F;GOMEZ C;GUANTER;LUIS L;HICKE JA;HUETE AR;ICHII K;NI W;PANG Y;RAHMAN AF;SUN G;YUAN W;ZHANG L;ZHANG X,REMOTE SENSING OF ENVIRONMENT,490,10.1016/j.rse.2019.111383
A 30 M GLOBAL MAP OF ELEVATION WITH FORESTS AND BUILDINGS REMOVED,2022,HAWKER L;UHE P;PAULO L;SOSA J;SAVAGE J;SAMPSON C;NEAL J,ENVIRONMENTAL RESEARCH LETTERS,476,10.1088/1748-9326/ac4d4f
PHYSICS-INFORMED MACHINE LEARNING: CASE STUDIES FOR WEATHER AND CLIMATE MODELLING,2021,KASHINATH K;MUSTAFA M;ALBERT A;WU JL;JIANG C;ESMAEILZADEH S;AZIZZADENESHELI K;WANG R;CHATTOPADHYAY A;SINGH A;MANEPALLI A;CHIRILA D;YU R;WALTERS R;WHITE B;XIAO H;TCHELEPI HA;MARCUS P;ANANDKUMAR A;HASSANZADEH P;PRABHAT P,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,460,10.1098/rsta.2020.0093
DEEP LEARNING FOR ESTIMATING BUILDING ENERGY CONSUMPTION,2016,MOCANU E;NGUYEN PH;GIBESCU M;KLING;WIL L. WL,SUSTAINABLE ENERGY GRIDS \& NETWORKS,458,10.1016/j.segan.2016.02.005
RISING WITH THE MACHINES: A SOCIOTECHNICAL FRAMEWORK FOR BRINGING ARTIFICIAL INTELLIGENCE INTO THE ORGANIZATION,2020,MAKARIUS EE;MUKHERJEE D;FOX JD;FOX;ALEXA K. AK,JOURNAL OF BUSINESS RESEARCH,455,10.1016/j.jbusres.2020.07.045
INTEGRATING SATELLITE AND CLIMATE DATA TO PREDICT WHEAT YIELD IN AUSTRALIA USING MACHINE LEARNING APPROACHES,2019,CAI Y;GUAN K;LOBELL D;POTGIETER AB;WANG S;PENG J;XU T;ASSENG S;ZHANG Y;YOU L;PENG B,AGRICULTURAL AND FOREST METEOROLOGY,452,10.1016/j.agrformet.2019.03.010
"EVALUATION OF SVM, ELM AND FOUR TREE-BASED ENSEMBLE MODELS FOR PREDICTING DAILY REFERENCE EVAPOTRANSPIRATION USING LIMITED METEOROLOGICAL DATA IN DIFFERENT CLIMATES OF CHINA",2018,FAN J;YUE W;WU L;ZHANG F;CAI;HUANJIE H;WANG X;LU X;XIANG Y,AGRICULTURAL AND FOREST METEOROLOGY,448,10.1016/j.agrformet.2018.08.019
ECOLOGICAL NICHE MODELS AND SPECIES DISTRIBUTION MODELS IN MARINE ENVIRONMENTS: A LITERATURE REVIEW AND SPATIAL ANALYSIS OF EVIDENCE,2020,MELO-MERINO SM;REYES-BONILLA H;LIRA-NORIEGA A,ECOLOGICAL MODELLING,441,10.1016/j.ecolmodel.2019.108837
SHORT-TERM WATER QUALITY VARIABLE PREDICTION USING A HYBRID CNN-LSTM DEEP LEARNING MODEL,2020,BARZEGAR R;AALAMI MT;ADAMOWSKI J,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,432,10.1007/s00477-020-01776-2
EVALUATION OF CATBOOST METHOD FOR PREDICTION OF REFERENCE EVAPOTRANSPIRATION IN HUMID REGIONS,2019,HUANG G;WU L;MA X;ZHANG W;FAN;JUNLIANG J;YU X;ZENG W;ZHOU H,JOURNAL OF HYDROLOGY,430,10.1016/j.jhydrol.2019.04.085
A BITTER CUP: CLIMATE CHANGE PROFILE OF GLOBAL PRODUCTION OF ARABICA AND ROBUSTA COFFEE,2015,BUNN C;LAEDERACH P;OVALLE RIVERA O;KIRSCHKE D,CLIMATIC CHANGE,416,10.1007/s10584-014-1306-x
ORGAN AGING SIGNATURES IN THE PLASMA PROTEOME TRACK HEALTH AND DISEASE,2023,OH HSH;RUTLEDGE J;NACHUN D;PALOVICS R;ABIOSE O;MORAN-LOSADA P;CHANNAPPA D;UREY DY;KIM K;SUNG YJ;WANG L;TIMSINA J;WESTERN D;LIU M;KOHLFELD P;BUDDE J;WILSON EN;GUEN Y;MAURER TM;HANEY M;YANG AC;HE;ZIHUAI Z;GREICIUS MD;ANDREASSON KI;SATHYAN;SANISH S;WEISS EF;MILMAN S;BARZILAI N;CRUCHAGA C;WAGNER AD;MORMINO E;LEHALLIER B;HENDERSON VW;LONGO FM;MONTGOMERY SB;WYSS-CORAY T,NATURE,411,10.1038/s41586-023-06802-1
SIGNIFICANT INCREASE IN NATURAL DISTURBANCE IMPACTS ON EUROPEAN FORESTS SINCE 1950,2023,PATACCA M;LINDNER M;LUCAS-BORJA ME;CORDONNIER T;FIDEJ G;GARDINER B;HAUF Y;JASINEVICIUS G;LABONNE S;LINKEVICIUS E;MAHNKEN M;MILANOVIC S;NABUURS GJ;NAGEL;THOMAS A. TA;NIKINMAA L;PANYATOV M;BERCAK R;SEIDL R;SEVER MZO;SOCHA J;THOM D;VULETIC D;ZUDIN S;SCHELHAAS;MART-JAN MJ,GLOBAL CHANGE BIOLOGY,408,10.1111/gcb.16531
AN OVERVIEW AND COMPARISON OF MACHINE-LEARNING TECHNIQUES FOR CLASSIFICATION PURPOSES IN DIGITAL SOIL MAPPING,2016,HEUNG B;HO HC;ZHANG J;KNUDBY A;BULMER CE;SCHMIDT MG,GEODERMA,408,10.1016/j.geoderma.2015.11.014
A COMPREHENSIVE REVIEW OF DEEP LEARNING APPLICATIONS IN HYDROLOGY AND WATER RESOURCES,2020,SIT M;DEMIRAY BZ;XIANG Z;EWING;GREGORY J. GJ;SERMET Y;DEMIR I,WATER SCIENCE AND TECHNOLOGY,403,10.2166/wst.2020.369
MACHINE LEARNING APPROACHES FOR ESTIMATING COMMERCIAL BUILDING ENERGY CONSUMPTION,2017,ROBINSON C;DILKINA B;HUBBS J;ZHANG W;GUHATHAKURTA S;BROWN MA;PENDYALA RM,APPLIED ENERGY,402,10.1016/j.apenergy.2017.09.060
REVIEW OF MACHINE LEARNING APPROACHES FOR BIOMASS AND SOIL MOISTURE RETRIEVALS FROM REMOTE SENSING DATA,2015,ALI I;GREIFENEDER F;STAMENKOVIC J;NEUMANN M;NOTARNICOLA C,REMOTE SENSING,396,10.3390/rs71215841
PREDICTION OF SOLAR ENERGY GUIDED BY PEARSON CORRELATION USING MACHINE LEARNING,2021,JEBLI I;BELOUADHA FZ;KABBAJ MI;TILIOUA A,ENERGY,394,10.1016/j.energy.2021.120109
DIGITAL MAPPING OF GLOBALSOILMAP SOIL PROPERTIES AT A BROAD SCALE: A REVIEW,2022,CHEN S;ARROUAYS D;MULDER VL;POGGIO L;MINASNY B;ROUDIER P;LIBOHOVA;ZAMIR Z;LAGACHERIE P;SHI Z;HANNAM J;MEERSMANS J;RICHER-DE-FORGES AC;WALTER C,GEODERMA,388,10.1016/j.geoderma.2021.115567
HYPERPARAMETER TUNING AND PERFORMANCE ASSESSMENT OF STATISTICAL AND MACHINE-LEARNING ALGORITHMS USING SPATIAL DATA,2019,SCHRATZ P;MUENCHOW J;ITURRITXA E;RICHTER J;BRENNING A,ECOLOGICAL MODELLING,386,10.1016/j.ecolmodel.2019.06.002
DIGITAL SOIL MAPPING ALGORITHMS AND COVARIATES FOR SOIL ORGANIC CARBON MAPPING AND THEIR IMPLICATIONS: A REVIEW,2019,LAMICHHANE S;KUMAR L;WILSON B,GEODERMA,379,10.1016/j.geoderma.2019.05.031
WIDESPREAD INCREASING VEGETATION SENSITIVITY TO SOIL MOISTURE,2022,LI W;MIGLIAVACCA M;FORKEL M;DENISSEN;JASPER M. C. JMC;REICHSTEIN M;YANG H;DUVEILLER G;WEBER U;ORTH R,NATURE COMMUNICATIONS,372,10.1038/s41467-022-31667-9
CONTRASTING RESPONSES OF WATER USE EFFICIENCY TO DROUGHT ACROSS GLOBAL TERRESTRIAL ECOSYSTEMS,2016,YANG Y;GUAN H;BATELAAN O;MCVICAR TR;LONG D;PIAO S;LIANG W;LIU B;JIN Z;SIMMONS CT,SCIENTIFIC REPORTS,364,10.1038/srep23284
PREDICTION AND VALIDATION OF THE POTENTIAL GLOBAL DISTRIBUTION OF A PROBLEMATIC ALIEN INVASIVE SPECIES - THE AMERICAN BULLFROG,2007,FICETOLA GF;THUILLER W;MIAUD C,DIVERSITY AND DISTRIBUTIONS,360,10.1111/j.1472-4642.2007.00377.x
COMPARISON AND RANKING OF DIFFERENT MODELLING TECHNIQUES FOR PREDICTION OF SITE INDEX IN MEDITERRANEAN MOUNTAIN FORESTS,2010,AERTSEN W;KINT V;VAN ORSHOVEN J;OZKAN K;MUYS B,ECOLOGICAL MODELLING,356,10.1016/j.ecolmodel.2010.01.007
CAN DEEP LEARNING BEAT NUMERICAL WEATHER PREDICTION?,2021,SCHULTZ MG;BETANCOURT C;GONG B;KLEINERT F;LANGGUTH M;LEUFEN LH;MOZAFFARI A;STADTLER S,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,353,10.1098/rsta.2020.0097
"ECOLOGICAL NICHES AS STABLE DISTRIBUTIONAL CONSTRAINTS ON MAMMAL SPECIES, WITH IMPLICATIONS FOR PLEISTOCENE EXTINCTIONS AND CLIMATE CHANGE PROJECTIONS FOR BIODIVERSITY",2004,MARTÍNEZ-MEYER E;TOWNSEND PETERSON A;HARGROVE WW,GLOBAL ECOLOGY AND BIOGEOGRAPHY,346,10.1111/j.1466-822X.2004.00107.x
COULD MACHINE LEARNING BREAK THE CONVECTION PARAMETERIZATION DEADLOCK?,2018,GENTINE P;PRITCHARD M;RASP S;REINAUDI G;YACALIS;G. G,GEOPHYSICAL RESEARCH LETTERS,338,10.1029/2018GL078202
MODELLING AND MAPPING SOIL ORGANIC CARBON STOCKS IN BRAZIL,2019,GOMES LC;FARIA RM;DE SOUZA E;VELOSO GV;SCHAEFER CEGR;FERNANDES F;FILHO EI,GEODERMA,328,10.1016/j.geoderma.2019.01.007
FOREST ABOVEGROUND BIOMASS ESTIMATION USING LANDSAT 8 AND SENTINEL-1A DATA WITH MACHINE LEARNING ALGORITHMS,2020,LI Y;LI M;LI C;LIU Z,SCIENTIFIC REPORTS,326,10.1038/s41598-020-67024-3
MACHINE LEARNING ALGORITHMS FOR MODELING GROUNDWATER LEVEL CHANGES IN AGRICULTURAL REGIONS OF THE US,2017,SAHOO S;RUSSO TA;ELLIOTT J;FOSTER I,WATER RESOURCES RESEARCH,320,10.1002/2016WR019933
NEURAL GENERAL CIRCULATION MODELS FOR WEATHER AND CLIMATE,2024,KOCHKOV D;YUVAL J;LANGMORE I;NORGAARD P;SMITH J;MOOERS G;KLOWER M;LOTTES J;RASP S;DUBEN P;HATFIELD S;BATTAGLIA;PETER P;SANCHEZ-GONZALEZ A;WILLSON M;BRENNER;MICHAEL P. MP;HOYER S,NATURE,318,10.1038/s41586-024-07744-y
COUPLING MACHINE LEARNING AND CROP MODELING IMPROVES CROP YIELD PREDICTION IN THE US CORN BELT,2021,SHAHHOSSEINI M;HU G;HUBER I;ARCHONTOULIS;SOTIRIOS V. SV,SCIENTIFIC REPORTS,317,10.1038/s41598-020-80820-1
"A MACHINE LEARNING APPROACH ON THE RELATIONSHIP AMONG SOLAR AND WIND ENERGY PRODUCTION, COAL CONSUMPTION, GDP, AND CO2 EMISSIONS",2021,MAGAZZINO C;MELE M;SCHNEIDER N,RENEWABLE ENERGY,314,10.1016/j.renene.2020.11.050
HEAT WAVES: PHYSICAL UNDERSTANDING AND SCIENTIFIC CHALLENGES,2023,BARRIOPEDRO D;GARCIA-HERRERA R;ORDONEZ C;MIRALLES D;G. G;SALCEDO-SANZ S,REVIEWS OF GEOPHYSICS,310,10.1029/2022RG000780
REVIEW ON FORECASTING OF PHOTOVOLTAIC POWER GENERATION BASED ON MACHINE LEARNING AND METAHEURISTIC TECHNIQUES,2019,AKHTER MN;MEKHILEF S;MOKHLIS H;SHAH;NORAISYAH MOHAMED NM,IET RENEWABLE POWER GENERATION,310,10.1049/iet-rpg.2018.5649
AMAZON RAINFOREST PHOTOSYNTHESIS INCREASES IN RESPONSE TO ATMOSPHERIC DRYNESS,2020,GREEN JK;BERRY J;CIAIS P;ZHANG Y;GENTINE P,SCIENCE ADVANCES,308,10.1126/sciadv.abb7232
A HYBRID ARTIFICIAL INTELLIGENCE APPROACH USING GIS-BASED NEURAL-FUZZY INFERENCE SYSTEM AND PARTICLE SWARM OPTIMIZATION FOR FOREST FIRE SUSCEPTIBILITY MODELING AT A TROPICAL AREA,2017,DIEU TIEN BUI DTB;QUANG-THANH BUI QTB;QUOC-PHI NGUYEN QPN;PRADHAN;BISWAJEET B;NAMPAK H;PHAN TRONG TRINH PTT,AGRICULTURAL AND FOREST METEOROLOGY,308,10.1016/j.agrformet.2016.11.002
CNN-LSTM: AN EFFICIENT HYBRID DEEP LEARNING ARCHITECTURE FOR PREDICTING SHORT-TERM PHOTOVOLTAIC POWER PRODUCTION,2022,AGGA A;ABBOU A;LABBADI M;EL HOUM Y;ALI IHO,ELECTRIC POWER SYSTEMS RESEARCH,304,10.1016/j.epsr.2022.107908
